"id","name","description","x","y","type","logoHash","logoExtension","isComplete","url","createdAt","updatedAt","deletedAt","videoUrl","EstatePreviewHash","EstatePreviewExtension","ownerAddress","ownerId","ownerName","ownerAvatarHash","ownerAvatarExtension"
"2746","","","-168","-39","1","","","False","","2020-11-12T01:40:28.000Z","2023-09-29T06:58:26.000Z","","","","","0x1f00c26ac7e3efff7a0b92aea2d6e709c561c19d","40cb211b-471e-4bbe-b2d9-58283f4e12a8","Gucciman","",""
"2731","","","-168","-66","1","","","False","","2020-11-12T01:40:28.000Z","2025-06-19T00:45:01.000Z","","","","","0xb757872560ae94d385ac274cbed43168d91d46d7","d91dfb05-70dc-422a-a368-40ccf169d87b","Bankroll","",""
"2540","Ucell","","-168","-3","1","","","True","","2020-09-14T20:41:38.000Z","2024-04-21T10:45:01.000Z","","","","","0x0fc7df476f5b208593f7ff9c0f2b04f8363d179b","807749e2-5d63-48d0-825d-950494507e16","rizon2","",""
"1199","The Sandbox Estate","","54","-39","1","","","True","","2020-06-03T22:42:46.000Z","2023-06-28T13:32:02.000Z","","https://www.youtube.com/watch?v=Zg5vcdEeLOA","","","0x7a9fe22691c811ea339d9b73150e6911a5343dca","cfb94ffd-e3b9-4681-850c-95a4c3e65f2f","SandboxGame","bafkreidtynlqcoyaalan3kmn4u5j5ddgc4mlhagtnhr6ehp4xmxhlyj65y","png"
"277","The Sandbox Estate","","48","-72","3","","","True","","2020-06-03T22:35:39.000Z","2023-06-28T13:32:02.000Z","","https://www.youtube.com/watch?v=Zg5vcdEeLOA","","","0x7a9fe22691c811ea339d9b73150e6911a5343dca","cfb94ffd-e3b9-4681-850c-95a4c3e65f2f","SandboxGame","bafkreidtynlqcoyaalan3kmn4u5j5ddgc4mlhagtnhr6ehp4xmxhlyj65y","png"
"3253","NOT MAEV","We aggregate degenerate communities. We have a game too. \r\n\r\nSamot Club\r\nRip Gang","48","120","3","bafkreib5gouamdrcq3txffs4ismlplfqp325weml4josslfhjzraiea7zy","jpg","False","https://opensea.io/collection/samot-club","2021-06-18T19:39:15.000Z","2025-05-01T00:00:17.000Z","","","","","0xe5193d2be4d4819f717092afc95e806f09a79964","52fbb665-9982-48b2-9647-e44bef41e3d7","Maev","bafkreibu6w3csj652ql5ridxpxbssi4zobezdmknsmcvqnxnsx3jd6qsei","png"
"90","Property's","Property's bridges the world between social network & your favorite games: Collect & own houses, meet new communities & play with your friends. Be whoever you want to be in a digital real life.","54","78","2","bafkreihxjqas77cdg4jcudovoq7eznijk7sgq2xtwsime2pq63mltsk4su","jpg","True","https://propertys.xyz/","2020-06-03T22:35:39.000Z","2024-12-11T18:29:34.000Z","","","bafkreihpn34jzpivwq775imzxmnusd5worwtkgirbx7b3qci5ekve6ay7u","png","0xb77d8895f7aaea0b8a04a12bf528eabea7e3a18f","","","",""
"2166","-132, 108","","-132","108","4","","","True","","2020-08-03T21:54:06.000Z","2023-06-28T13:32:02.000Z","","https://www.youtube.com/watch?v=Zg5vcdEeLOA","","","0x7a9fe22691c811ea339d9b73150e6911a5343dca","cfb94ffd-e3b9-4681-850c-95a4c3e65f2f","SandboxGame","bafkreidtynlqcoyaalan3kmn4u5j5ddgc4mlhagtnhr6ehp4xmxhlyj65y","png"
"2290","-114, 78","","-114","78","1","bafkreidw6x4mbrmydeiheu6eyb4jervhrkhm5k6emsotlivv3n567eknaa","jpg","True","","2020-08-03T21:54:07.000Z","2022-01-29T14:51:11.000Z","","","bafkreidw6x4mbrmydeiheu6eyb4jervhrkhm5k6emsotlivv3n567eknaa","jpg","0x08894e02b950fc44ef7a81da248d4f0bfd6659d4","87ee42b9-5d31-4265-b3ba-70f60a47eb2b","FreeRangeChicken","bafkreic4j4ymzwsnobazdybgk6ylf6xuwx7lm6rsxpatpvpuhz5om3pn5m","jpg"
"394","123, -39","","123","-39","1","bafkreidfnvej65sozbndafutpmqmx4hbtdm5y64vafj7nhtwcaucwswfxm","jpg","True","https://twitter.com/MetaKovan","2020-06-03T22:35:39.000Z","2022-06-21T08:46:54.000Z","","","","","0x0ba6a24246ab3cfc9d843373d76d8fd7fd7a3430","a962c0fc-0bf0-486a-910e-8f5a42f4357e","MPMVP","",""
"806","120, -66","","120","-66","2","bafkreifd7dupfqssmcf3tcz7ixp5iohk4n5dtycx2dr77zlm7bwr2xjple","jpg","True","https://twitter.com/MetaKovan","2020-06-03T22:35:39.000Z","2022-06-21T05:08:52.000Z","","","","","0x0ba6a24246ab3cfc9d843373d76d8fd7fd7a3430","a962c0fc-0bf0-486a-910e-8f5a42f4357e","MPMVP","",""
"320","123, -3","","123","-3","1","bafkreidfnvej65sozbndafutpmqmx4hbtdm5y64vafj7nhtwcaucwswfxm","jpg","True","https://twitter.com/MetaKovan","2020-06-03T22:35:39.000Z","2022-06-21T08:25:47.000Z","","","","","0x0ba6a24246ab3cfc9d843373d76d8fd7fd7a3430","a962c0fc-0bf0-486a-910e-8f5a42f4357e","MPMVP","",""
"3152","OpenSea","Available on auction on OpenSea","120","72","3","bafkreigle7tbjitsysdy5c2kdf6el6ldw6pw5rink5eubfq4enmvg4eavm","svg","True","https://opensea.io/assets/0xf17131a4c85e8a75ba52b3f91ce8c32f6f163924/39","2021-04-13T17:38:09.000Z","2022-04-28T02:07:03.000Z","","","","","0x72d595b22e807af63dd6fdb4d2f6bdc30401fc71","c04fbed8-d159-40a0-8fd4-d345ec56e7d3","Enigmanic","",""
"943","ETRNAL ESTATE 96, -66","One of the largest crops","96","-66","2","","","False","","2020-06-03T22:35:39.000Z","2024-06-06T23:01:16.000Z","","","","","0x2f17e5f2d721997fa26e3d8bcce7a9c1e33b3a58","e6a0394f-7f66-458e-a8f3-e88b0c48b736","aabaa","",""
"1366","3x3 estate (9 land parcels)","Used to be located next to 6x6 FTX estate","99","-3","1","bafkreibhvecxfvkdhjsedqtirpdq6ybrzzd4r6n2qsiyxm3g7elf52inga","jpg","True","","2020-06-03T22:42:51.000Z","2025-04-04T01:36:49.000Z","","","","","0x4b56b81041b12952d68c25b0fc0b541cbdfefe7b","77d2a039-71a7-42c2-b402-9a14d28de08d","Quartzite","bafkreia6bvgwg4usskna4p4sdw36j3g2kja7ozyaegqwxkncqn3mkrvm7q","png"
"3885","","","96","120","2","","","True","","2023-12-04T13:47:38.000Z","2023-12-04T14:41:00.000Z","","","","","0x7a9fe22691c811ea339d9b73150e6911a5343dca","cfb94ffd-e3b9-4681-850c-95a4c3e65f2f","SandboxGame","bafkreidtynlqcoyaalan3kmn4u5j5ddgc4mlhagtnhr6ehp4xmxhlyj65y","png"
