"id","name","description","x","y","minted","previewHash","previewExtension","logoHash","logoExtension","contentHash","blockchainId","sector","url","videoUrl","migrated","partnerId","chainIdChangedAt","createdAt","updatedAt","deletedAt","ownerAddress","ownerId","ownerName","ownerAvatarHash","ownerAvatarExtension","estate","bundleId","chainId","lastIndexedAt","neighborhoodId"
"5344437e-77c7-43e4-9e50-04fe17833cf5","","","-167","-37","True","","","","","","68173","15","","","True","","2022-04-27T20:38:06.000Z","2020-11-12T01:40:28.000Z","2024-01-23T15:29:52.000Z","","0x34380456f50e013f1b8b2b9b5dc9d55fb0ca9c2b","","","","","2746","","1","2024-01-23T15:29:55.000Z","173"
"dd53700d-3a4c-449e-a765-16af4ec5e949","","","-167","-66","True","","","","","","56341","15","","","True","","2022-07-20T18:31:36.000Z","2020-11-12T01:40:28.000Z","2023-12-12T17:25:29.000Z","","0x39d5011b4e0f87ba1c4047d62ce9d50fe0cf4303","ac6cbe64-46ef-4337-a978-c6339eafd514","Hijjawi","bafkreiddi7elfnty5su4k3extjj55nbss6pznwqp4hyyarxwprwoozn7ue","jpg","2731","","137","2023-12-12T17:25:32.000Z","143"
"84623d10-084f-4970-8eec-88f4ac942a4f","","","-167","-2","True","","","","","","82453","14","","","True","","2024-04-21T10:37:35.000Z","2020-09-14T20:41:38.000Z","2024-04-21T10:40:31.000Z","","0x0fc7df476f5b208593f7ff9c0f2b04f8363d179b","807749e2-5d63-48d0-825d-950494507e16","rizon2","","","2540","","137","2024-04-21T10:40:34.000Z","182"
"d5c4d806-ac90-4a6a-9ef8-49d74cad8fe0","-167, 121","","-167","121","True","","jpeg","","","","132637","28","","","True","","2022-05-15T17:07:49.000Z","2021-08-25T15:36:45.000Z","2023-12-12T17:25:28.000Z","","0x5da40298e9a0c0a3dbde53aaa4afcde8ce3d32ff","96467fb0-d0c1-4c28-9137-bc1c58b5878d","laiyitming","","","","","1","2023-12-12T17:25:31.000Z","28"
"","","Land with coordinates [-167,78] not found.","-167","78","False","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd9c4623-988d-4d51-af1d-cd2f44e3f097","","","54","-37","True","","","","","","","4","","https://www.youtube.com/watch?v=Zg5vcdEeLOA","False","","","2020-06-03T22:42:46.000Z","2023-12-12T17:25:25.000Z","","0x7a9fe22691c811ea339d9b73150e6911a5343dca","cfb94ffd-e3b9-4681-850c-95a4c3e65f2f","SandboxGame","bafkreidtynlqcoyaalan3kmn4u5j5ddgc4mlhagtnhr6ehp4xmxhlyj65y","png","1199","","","2023-12-12T17:25:28.000Z","4"
"f44380e2-786a-444b-ac95-d507f8551a40","","","54","-66","True","","","","","","","3","","https://www.youtube.com/watch?v=Zg5vcdEeLOA","False","","","2020-03-30T21:42:37.000Z","2024-01-23T15:30:45.000Z","","0x7a9fe22691c811ea339d9b73150e6911a5343dca","cfb94ffd-e3b9-4681-850c-95a4c3e65f2f","SandboxGame","bafkreidtynlqcoyaalan3kmn4u5j5ddgc4mlhagtnhr6ehp4xmxhlyj65y","png","277","","","2024-01-23T15:30:48.000Z","178"
"","","Land with coordinates [54,-2] not found.","54","-2","False","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2471731-3ece-4f42-abb7-1ada54b82883","54, 121","","54","121","True","bafkreici4z465foslwvtzaxl2exaxk4ageox6oq55odmcwgf5iybsgq6g4","jpg","bafkreici4z465foslwvtzaxl2exaxk4ageox6oq55odmcwgf5iybsgq6g4","jpg","","132858","23","","","True","","2023-06-17T08:03:30.000Z","2021-06-18T19:39:15.000Z","2023-12-12T17:25:30.000Z","","0xf3709947e5703c78044272bf5d6adc7aecf18f85","5fe0c457-3e37-4df9-9e0e-33b299f6ef82","XOXODUCK","bafybeifqhjgrfutu5kcfychvg36h5owsxcsr7tplcqxmhzuwkdxajxsleu","png","3253","","137","2023-12-12T17:25:33.000Z","23"
"92b37845-34e5-4d8b-a185-bd3010d6d422","","","54","78","True","","","","","","115314","2","","","True","","2024-12-11T18:28:35.000Z","2020-02-11T00:17:45.000Z","2024-12-11T18:29:35.000Z","","0xb77d8895f7aaea0b8a04a12bf528eabea7e3a18f","","","","","90","","1","2024-12-11T18:29:38.000Z","174"
